,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
57,27434,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,1,54
58,15056,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,20
59,25529,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Funded Startup,2,20
60,26053,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,78
61,30684,city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,2,20
62,31291,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,18,50-99,Funded Startup,3,82
63,26903,city_103,0.92,Male,Has relevent experience,Part time course,Masters,STEM,>20,10000+,Pvt Ltd,2,77
64,32889,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,19,1000-4999,Other,2,56
65,16150,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10/49,Pvt Ltd,>4,24
66,31345,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,NGO,>4,218
67,13375,city_157,0.769,Male,No relevent experience,Full time course,Graduate,STEM,3,500-999,Pvt Ltd,1,44
68,12369,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1,87
69,30180,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,10000+,Pvt Ltd,>4,10
70,33355,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,1,130
71,2417,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,1,42
72,30481,city_114,0.9259999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,2,85
73,5540,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Other,4,12
74,263,city_109,0.701,Male,No relevent experience,no_enrollment,Graduate,Humanities,1,50-99,Pvt Ltd,1,60
75,20373,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Public Sector,1,3
76,4991,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,8,10/49,Pvt Ltd,1,56
77,24045,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,NGO,1,136
78,17697,city_114,0.9259999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,1,48
79,30866,city_80,0.847,Male,Has relevent experience,no_enrollment,Masters,Business Degree,14,10000+,Pvt Ltd,2,41
80,25973,city_39,0.898,Male,Has relevent experience,no_enrollment,Masters,Other,8,50-99,Pvt Ltd,1,31
81,8980,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,8,100-500,Funded Startup,4,43
82,24754,city_114,0.9259999999999999,Male,Has relevent experience,Part time course,Graduate,STEM,9,10000+,Pvt Ltd,3,51
83,31696,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,2,72
84,24611,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Funded Startup,1,24
85,7027,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,2,87
86,23513,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,51
87,24451,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,7,50-99,Pvt Ltd,4,74
88,25896,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Early Stage Startup,1,24
89,29281,city_28,0.9390000000000001,Female,No relevent experience,no_enrollment,Masters,STEM,3,50-99,Public Sector,1,79
90,31222,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,>4,5
91,10055,city_99,0.915,Female,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,72
92,32053,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,80
93,30111,city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,Other,4,50-99,Pvt Ltd,never,116
94,33097,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,6,50-99,Funded Startup,1,74
95,14127,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,3,28
96,29904,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,4,47
97,29099,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,Pvt Ltd,>4,154
98,30579,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,500-999,Pvt Ltd,1,35
99,11957,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,>4,12
100,20120,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,1,188
101,25972,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,10,100-500,Pvt Ltd,1,37
102,10442,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,25
103,24285,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,16
104,26227,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,7,50-99,Pvt Ltd,2,59
105,28482,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,10,100-500,NGO,2,21
106,23555,city_116,0.743,Female,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,33
107,10319,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,26
108,24606,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Pvt Ltd,1,21
109,4545,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,4,50
110,11076,city_50,0.8959999999999999,Male,No relevent experience,no_enrollment,Masters,Other,8,1000-4999,Pvt Ltd,>4,89
111,14411,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,1,50-99,Pvt Ltd,1,50
112,18403,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1,3
113,30763,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,17
114,10772,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,>4,31
115,10597,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,NGO,3,286
116,6940,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,200
117,30682,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,6
118,33089,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,5000-9999,Pvt Ltd,1,26
119,28024,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,3,31
120,25717,city_114,0.9259999999999999,Female,No relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,3,44
121,2302,city_77,0.83,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,4
122,27506,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,100-500,Pvt Ltd,2,222
123,30403,city_91,0.691,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,9
124,6612,city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,4,44
125,14011,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,22
126,22398,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Funded Startup,2,9
127,23199,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,>4,25
128,1093,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,1,94
129,12165,city_28,0.9390000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,8,1000-4999,Pvt Ltd,1,32
130,27636,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,64
131,10320,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,2,100-500,Funded Startup,1,158
132,4209,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Other,14,1000-4999,Pvt Ltd,>4,106
133,13817,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,3,165
134,8530,city_103,0.92,Male,No relevent experience,Full time course,Masters,STEM,>20,100-500,Pvt Ltd,2,125
135,4944,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,9
136,16458,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Public Sector,4,74
137,7422,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,58
138,13043,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Pvt Ltd,1,29
139,274,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,1,19
140,19300,city_152,0.698,Female,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,15
141,1387,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,2,78
142,23959,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,500-999,Pvt Ltd,1,36
143,24455,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,83
144,6441,city_19,0.682,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,5000-9999,Pvt Ltd,1,22
145,13576,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,29
146,21421,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,NGO,2,34
147,18542,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,19,50-99,NGO,1,110
148,2303,city_16,0.91,Male,No relevent experience,Full time course,Masters,Business Degree,19,1000-4999,NGO,>4,88
149,22275,city_75,0.9390000000000001,Male,No relevent experience,no_enrollment,Graduate,Other,16,5000-9999,Pvt Ltd,3,65
150,2246,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Funded Startup,1,56
151,23304,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,2,16
152,28181,city_94,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Early Stage Startup,1,24
153,28971,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,10000+,Public Sector,>4,37
154,23594,city_127,0.745,Male,No relevent experience,Full time course,Graduate,STEM,11,100-500,Public Sector,2,64
155,25132,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,never,106
156,11381,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,>4,28
157,8885,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,47
158,23577,city_173,0.878,Male,Has relevent experience,Full time course,Graduate,STEM,10,100-500,Pvt Ltd,3,45
159,26207,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,80
160,30808,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,188
161,4629,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,146
162,28621,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Other,11,10000+,Pvt Ltd,1,21
163,30647,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7
164,8427,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,NGO,3,89
165,14577,city_102,0.804,Male,No relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,155
166,22218,city_53,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,73
167,29970,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,52
168,5829,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,1,46
169,4473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Funded Startup,2,75
170,13871,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,2,96
171,20327,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,4,18
172,26825,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,204
173,7381,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Public Sector,4,218
174,30473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,1,48
175,31584,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Funded Startup,2,24
176,18901,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Early Stage Startup,1,10
177,29003,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,35
178,23445,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,4,8
179,9731,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,2,134
180,1118,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,7,5000-9999,Pvt Ltd,1,44
181,14191,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,21
182,31824,city_75,0.9390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,12
183,17787,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,21
184,1142,city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,1,53
185,31976,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,>4,14
186,4734,city_71,0.884,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Other,1,12
187,10966,city_40,0.7759999999999999,Female,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,32
188,21084,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,28
189,14282,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,15
190,32830,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,20
191,3333,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1,4
192,16152,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,1,18
193,9535,city_160,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,16,500-999,Public Sector,>4,308
194,20776,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Funded Startup,3,36
195,17912,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,76
196,11109,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,5000-9999,Pvt Ltd,>4,10
197,29469,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Public Sector,>4,94
198,11115,city_167,0.9209999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,144
199,14807,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,133
200,27682,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,43
201,25516,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Public Sector,>4,18
202,27042,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,11,100-500,Pvt Ltd,1,24
203,4098,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Other,2,68
204,29114,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,5
205,920,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,3,216
206,32618,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,5000-9999,Pvt Ltd,1,11
207,23029,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10000+,Public Sector,1,192
208,1273,city_118,0.722,Male,No relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,1,100
209,1154,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,4,12
210,3382,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,4,268
211,22533,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,11,<10,Pvt Ltd,2,28
212,10591,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,Pvt Ltd,never,84
213,9328,city_173,0.878,Male,Has relevent experience,Part time course,Graduate,STEM,12,50-99,Pvt Ltd,4,38
214,18570,city_114,0.9259999999999999,Male,No relevent experience,no_enrollment,Phd,STEM,14,10000+,Pvt Ltd,1,10
215,5016,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,20
216,6799,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,88
217,27432,city_152,0.698,Male,Has relevent experience,Full time course,Phd,STEM,>20,<10,Public Sector,>4,13
218,5084,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,18
219,28274,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,5,1000-4999,Pvt Ltd,3,48
220,9996,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,5000-9999,Pvt Ltd,3,56
221,31597,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,NGO,>4,33
222,10147,city_103,0.92,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,1,110
223,1843,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,<10,Early Stage Startup,1,18
224,13780,city_100,0.887,Male,Has relevent experience,Part time course,Phd,STEM,10,50-99,Pvt Ltd,1,130
225,31797,city_46,0.762,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Public Sector,1,105
226,18719,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,1,108
227,22859,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Funded Startup,2,69
228,7547,city_73,0.754,Male,No relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,2,90
229,7582,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,3,56
230,267,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,3,43
231,11913,city_176,0.764,Other,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,162
232,27267,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Other,4,500-999,Public Sector,2,3
233,11095,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,1,10
234,12535,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Early Stage Startup,1,32
235,7622,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1,95
